,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
1329,13.280000000000001,0.0,0.0,0.0,0.0,-0.10938205347080313,0.14851374605584053,0.3737398832809174,0.6364617951362175,-1.652655002697809,-1.722910794393935,-0.07025579169612595,0.25789579952664365
1330,13.290000000000001,0.0,0.0,0.0,0.0,-0.105587117530087,0.15471604819555115,0.3852165343062782,0.6039654280575051,-1.6537299441808666,-1.7213943746567884,-0.06766443047592174,0.26030316572563816
1331,13.3,0.0,0.0,0.0,0.0,-0.10167836365354715,0.16059248062069903,0.3965009322810685,0.5712968618200359,-1.6547663656127918,-1.7198175598118501,-0.06505119419905837,0.2622708442742462
1332,13.31,0.0,0.0,0.0,0.0,-0.09765779042006857,0.16614159162984107,0.40757787917905836,0.5385101472792683,-1.6557631386804863,-1.7181836162651378,-0.062420477584651524,0.26379938204990966
1333,13.32,0.0,0.0,0.0,0.0,-0.09352754799373739,0.1713624696480344,0.41843226055265564,0.5056592421975579,-1.6567191558152634,-1.7164958222382747,-0.05977666642301127,0.2648900176417718
1334,13.33,0.0,0.0,0.0,0.0,-0.08928993715025993,0.1762547417950937,0.4290490731659082,0.47279791106761426,-1.6576333317040621,-1.7147574623735493,-0.05712413066948719,0.2655446789453536
1335,13.34,0.0,0.0,0.0,0.0,-0.08494740802508445,0.18081857145243,0.4394134529953159,0.4399796250826608,-1.658504604789537,-1.7129718223583001,-0.05446721756876305,0.26576597947751446
1336,13.35,0.0,0.0,0.0,0.0,-0.0805025585803224,0.18505465483225494,0.44951070344298477,0.40725746271623037,-1.6593319387562262,-1.7111421835786254,-0.051810244822399154,0.2655572134125773
1337,13.36,0.0,0.0,0.0,0.0,-0.07595813278913145,0.18896421655753745,0.4593263236048655,0.37468401136803375,-1.6601143239999738,-1.7092718178123554,-0.04915749381238155,0.2649223493466689
1338,13.370000000000001,0.0,0.0,0.0,0.0,-0.07131701853779444,0.19254900426560734,0.4688460364371621,0.3423112705200936,-1.6608507790777876,-1.7073639819711202,-0.046513202893332606,0.26386602280340177
1339,13.38,0.0,0.0,0.0,0.0,-0.06658224524729318,0.19581128225265487,0.47805581666628966,0.31019055682980345,-1.6615403521353085,-1.7054219129011934,-0.0438815607658849,0.26239352749994804
1340,13.39,0.0,0.0,0.0,0.0,-0.0617569812176849,0.19875382418054463,0.4869419182921626,0.2783724115635725,-1.6621821223091107,-1.7034488222525968,-0.04126669994348609,0.2605108053982295
