,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
893,8.92,-78.49064365394692,-4.3738495030116065,120.80325809565294,-13.437225348417812,1.3230126721636553,2.386674585876322,-3.0072277777240477,-2.652856973270871,0.43499386211777086,-1.8403265387142356,1.3603576329010514,2.428467685004492,12.9602519066131,10.68252217411005,-2.2753204008320065,1.0636619137126666
894,8.93,-76.73021231135017,-4.347877805160816,121.42743185598992,-12.731350544947343,1.293061513814326,2.359109042825549,-2.9399328237529962,-2.611023207078984,0.4480740275275567,-1.81659589906713,1.3396200096855295,2.409574618088134,12.973751610937494,10.706712391470658,-2.264669926594687,1.066047529011223
895,8.94,-74.83505541357633,-4.331212291854003,122.16840170060897,-12.035243302744188,1.2637867142881802,2.331979849206501,-2.8691860146182178,-2.5659736482058992,0.4608580575980787,-1.7931387630553979,1.3191083941058732,2.3906809093092227,12.987045060259579,10.730713664445924,-2.2539968206534766,1.068193134918321
896,8.950000000000001,-72.81681447158945,-4.32316189742088,123.01614561198787,-11.348711820752643,1.2352223775906095,2.3053192231512725,-2.7953797023767355,-2.5180605776263656,0.47335288712415874,-1.769950606176503,1.2988329402397978,2.3717986635982222,13.000134566115078,10.754526047975817,-2.2433034933006617,1.070096845560663
897,8.96,-70.68727011402314,-4.323008681964424,123.96043196369655,-10.671517344691825,1.2073987103029205,2.2791557639257327,-2.718902644416005,-2.4676311864883234,0.485565772409648,-1.7470265996831444,1.2788029943423336,2.352939007102886,13.013022537509839,10.778149713119177,-2.2325923720927925,1.0717570536228123
898,8.97,-68.458280185585,-4.330018855427475,124.99088204519889,-10.003385352129646,1.1803420582498858,2.2535145132835064,-2.6401384022291867,-2.415026746612857,0.4975042524754118,-1.7243616464825018,1.2590271324825273,2.3341121307252086,13.02571147303016,10.80158493748408,-2.2218658989579136,1.0731724550336206
899,8.98,-66.14171962202447,-4.343453372860884,126.09703099792763,-9.34401636012239,1.1540749589619097,2.2284170251191333,-2.559463827875678,-2.360581838282259,0.5091761107132995,-1.7019504163804684,1.2395131976515616,2.315327332941515,13.038203953326978,10.824832096090143,-2.211126527093768,1.0743420661572236
900,8.99,-63.749422345799054,-4.36257797228583,127.26838689678729,-8.69309622089307,1.1286162090605805,2.203881442706833,-2.4772476398677177,-2.3046236275709293,0.5205893371397212,-1.679787380591153,1.2202683362214377,2.296593061787822,13.050502633967952,10.847891652654928,-2.200376717730874,1.0752652336462525
901,9.0,-61.29312540762268,-4.386672541191139,128.49448773146705,-8.050305786018276,1.1039809456806178,2.1799225829028317,-2.3938490900681857,-2.2474711863856314,0.5317520913935899,-1.6578668454387295,1.2012990336500122,2.2779169559111097,13.062610238650482,10.870764151295623,-2.1896189368323196,1.075941637222214
902,9.01,-58.784415580414276,-4.415039713400071,129.76495606191477,-7.415329835641751,1.0801807410267825,2.1565520267723923,-2.3096167230525517,-2.1894348493861946,0.5426726666144854,-1.6361829851845031,1.1826111493435805,2.2593058846038323,13.074529552767611,10.89345020863619,-2.1788556517989885,1.0763712857456098
903,9.02,-56.234678592773406,-4.447012614575807,131.0695511429972,-6.787865186117358,1.0572237091511185,2.1337782161764784,-2.2248872292424435,-2.1308156030213152,0.5533594543277948,-1.6147298739171068,1.16420995060236,2.240765986754351,13.086263417318019,10.915950506309498,-2.1680893282449016,1.07655450702536
904,9.03,-53.655051169485105,-4.481961691610437,132.39821833426504,-6.167627906805519,1.035114624024017,2.1116065559163983,-2.1399843929615407,-2.0719045029930454,0.5638209104543725,-1.5935015164481148,1.1461001455872153,2.2223027086600204,13.097814723150643,10.93826578384333,-2.1573224269024873,1.0764919318923813
905,9.040000000000001,-51.05637602702531,-4.519300578309671,133.741135631522,-5.554359594257648,1.0138550479621182,2.0900395210873883,-2.0552181363997257,-2.0129821175562537,0.574065522552979,-1.5724918781591346,1.1282859152579185,2.20392084066236,13.10918640553385,10.960396831918622,-2.1465574007121138,1.07618447312527
906,9.05,-48.4491599518577,-4.558490966681394,135.08875717828164,-4.947832669243191,0.9934434694671122,2.069076769333516,-1.9708836602657163,-1.95431799505956,0.5841017783942681,-1.5516949137497567,1.1107709442438063,2.1856245525749323,13.120381439038677,10.982344485988076,-2.135796692144025,1.0756332998664038
907,9.06,-45.84353506958565,-4.599046469874368,136.43185363609265,-4.347854679134776,0.9738754495223105,2.0487152577270438,-1.887260681699661,-1.8961701551781063,0.5939381359557081,-1.5311045948386313,1.09355845061758,2.1674174278850575,13.131402832725325,11.004109620242911,-2.1250427307943394,1.0748398082047332
908,9.07,-43.249223392692414,-4.640535478763463,137.7615493141631,-3.754271604421365,0.955143775388797,2.0289493640151854,-1.8046127697599628,-1.8387846041994511,0.6035829949171289,-1.510714936372756,1.076651214551664,2.1493024967196024,13.142253625621812,11.025693141915468,-2.114297931289885,1.0738055886263884
909,9.08,-40.6755047150802,-4.682583029175413,139.06935597931547,-3.1669701834097337,0.937238620940014,2.009771011986624,-1.723186778532104,-1.7823948755496297,0.6130446697271198,-1.490520021802468,1.060051605844322,2.1312822675730705,13.152936882483537,11.047095985905255,-2.103564691529588,1.07253239104661
910,9.09,-38.13118790140422,-4.72487171089131,140.34720328852455,-2.5858792835923317,0.9201477125733961,1.9911698007104663,-1.6432123775959726,-1.7272215975191247,0.6223313643007926,-1.470514026982214,1.0437616103096519,2.1133587578036255,13.16345568982245,11.068319109716153,-2.0928453912830065,1.0710220881370702
911,9.1,-35.62458560011926,-4.767141662285157,141.58746580635085,-2.0109703611507967,0.9038564997402362,1.9731331373915346,-1.5649016792709314,-1.6734720907866631,0.6314511483998805,-1.4506912427596785,1.02778285503179,2.095533522908899,13.173813152194416,11.089363488692424,-2.082142391159559,1.0692766376512983
912,9.11,-33.16349238967956,-4.809189705731853,142.78298658995266,-1.4422570615806847,0.8883483291405877,1.9556463735694511,-1.4884489616955296,-1.621339998822735,0.64041193573656,-1.431046096218513,1.0121166324888846,2.077807684598978,13.184012388733478,11.110230111541478,-2.071458031955073,1.0672980444288633
913,9.120000000000001,-30.755166348865238,-4.850867688890914,143.92709734369373,-0.879794024634319,0.8736046216390889,1.9386929443663163,-1.4140304864376616,-1.5710049546979978,0.6492214638329065,-1.4115731705427632,0.9967639235572252,2.0601819576888034,13.19405652992174,11.130919976131407,-2.06079463437567,1.0650883227272274
914,9.13,-28.406314023848346,-4.892080104980301,145.013635164512,-0.32367496499843185,0.8596050509701676,1.9222545104592932,-1.3418044089323766,-1.5226322880108165,0.657887275658497,-1.3922672234742,0.981725419409746,2.0426566758361635,13.203948714583767,11.151434085551715,-2.050154499132697,1.0626494594891256
915,9.14,-26.12307874739861,-4.932781072042736,146.0369559171853,0.22596989277763235,0.8463277233174593,1.906311102422575,-1.2719107796615594,-1.4763727758860312,0.6664167030594803,-1.3731232043371286,0.9670015423268119,2.025231816155194,13.213692087094486,11.171773444425693,-2.039539907396609,1.0599833791051156
916,9.15,-23.911032248544128,-4.972970755604611,146.9919442963902,0.7689769420102399,0.8337493568725192,1.8908412670477948,-1.2044716335634371,-1.4323624418356342,0.6748168519833436,-1.3541362696090684,0.95259246543982,2.007907022737969,13.22328979478988,11.191939055463521,-2.028953121592412,1.0570919101752756
917,9.16,-21.775169475415233,-5.012691322810259,147.87402064869602,1.3051527973075334,0.8218454605021566,1.875822215216616,-1.139591164773931,-1.390722406294135,0.6830945894948033,-1.3353017970197016,0.938498131430812,1.9906816291193505,13.232744985569836,11.211931916245222,-2.018396386514505,1.0539767547144594
918,9.17,-19.71990653875548,-5.052022517378241,148.679144643454,1.8342782853158859,0.8105905106819208,1.8612299708626507,-1.0773559833850703,-1.3515587922808125,0.6912565325696707,-1.3166153981649829,0.9247182702130888,1.9735546797221093,13.242060805682907,11.23175301622315,-2.0078719307346535,1.0506394601807298
919,9.18,-17.74908166979423,-5.09107694486346,149.40381589588728,2.3561127341199875,0.7999581258855175,1.8470395205256471,-1.0178354505220637,-1.3149626893102415,0.6993090386452957,-1.2980729296280935,0.9112524156194988,1.956524950320937,13.251240397682873,11.251403333933986,-1.9973819682733893,1.0470813946401296
920,9.19,-15.865959073135926,-5.129995156184353,150.0450716592146,2.8703984740219797,0.7899212376560256,1.833224962968998,-0.9610820876596099,-1.2810101781681666,0.707258197898255,-1.2796705026040542,0.898099921126206,1.9395909675650198,13.260286898547351,11.270883834410657,-1.9869287005023093,1.0433037253129724
